epoch,lr,target_pos_x,target_pos_y,total,pulse,silence,contrast,efficiency,pre_pulse,frequency,frequency_loss,target_peak,sidelobe_peak,total_energy,trajectory_length,trajectory_penalty,jerk,jerk_penalty,trajectory_region,trajectory_region_penalty,target_band_power,off_band_power
0,0.001,0.05,0.05,2.046485185623169,-0.38360297679901123,5.453689300338738e-05,0.08535835891962051,0.048076994717121124,3.88743937946856e-05,0.8963208794593811,0.017926417291164398,0.00038360297912731767,0.0010453850263729692,7.555358649824484e-08,0.13944366574287415,0.013944366946816444,2.188962433535835e-08,2.188962344717993e-10,0.027725884690880775,1.3862942457199097,0.009760535322129726,0.00017497161752544343
1,0.001,0.05,0.05,1.8532012701034546,-0.3858848214149475,5.5074793635867536e-05,0.08193822205066681,0.04802364856004715,3.942401963286102e-05,0.7089622020721436,0.014179244637489319,0.0003858848358504474,0.0010123247047886252,7.63129861525158e-08,0.13773316144943237,0.013773316517472267,1.8195558837419412e-08,1.8195558948441715e-10,0.027725884690880775,1.3862942457199097,0.013717398047447205,0.00019450248510111123
2,0.001,0.05,0.05,1.7425953149795532,-0.3854188919067383,5.5531800171593204e-05,0.08212215453386307,0.04858225956559181,4.080580401932821e-05,0.5972616672515869,0.011945233680307865,0.0003854188835248351,0.0010139310033991933,7.702605842041521e-08,0.1365756392478943,0.013657564297318459,1.7089808679315865e-08,1.7089808734827017e-10,0.027725884690880775,1.3862942457199097,0.017083972692489624,0.00020407215924933553
3,0.001,0.05,0.05,1.6678013801574707,-0.38125401735305786,5.6012380809988827e-05,0.08194369077682495,0.05008760839700699,4.4321986933937296e-05,0.5170438885688782,0.010340877808630466,0.0003812540089711547,0.0010100639192387462,7.781341082591098e-08,0.13585717976093292,0.013585718348622322,1.7200072477407957e-08,1.7200071922296445e-10,0.027725884690880775,1.3862942457199097,0.0197676382958889,0.0002044148277491331
4,0.001,0.05,0.05,1.6543138027191162,-0.3752104341983795,5.658671580022201e-05,0.08728869259357452,0.052238982170820236,5.0004244258161634e-05,0.49003511667251587,0.009800702333450317,0.0003752104239538312,0.0010604921262711287,7.876742813550663e-08,0.13555476069450378,0.013555476441979408,1.8117475519829895e-08,1.8117475575341047e-10,0.027725987136363983,1.3862993717193604,0.02193901129066944,0.0002150178188458085
5,0.001,0.05,0.05,1.634171724319458,-0.37176963686943054,5.739837069995701e-05,0.09374954551458359,0.05400621518492699,5.204780973144807e-05,0.457894891500473,0.009157897904515266,0.00037176962359808385,0.001123380265198648,8.004403895256473e-08,0.13490089774131775,0.013490090146660805,1.8417388503166876e-08,1.8417388447655725e-10,0.027733825147151947,1.3866912126541138,0.025263972580432892,0.0002313649602001533
6,0.001,0.05,0.05,1.615118384361267,-0.3706168830394745,5.831478483742103e-05,0.09670641273260117,0.05526305362582207,5.235178105067462e-05,0.43288642168045044,0.0086577283218503,0.00037061687908135355,0.0011523725697770715,8.143391028170299e-08,0.13399219512939453,0.013399220071732998,1.8571384430288163e-08,1.8571384707843919e-10,0.027747390791773796,1.3873695135116577,0.028983550146222115,0.00025093177100643516
7,0.001,0.05,0.05,1.6005384922027588,-0.3728090822696686,5.915728252148256e-05,0.09764933586120605,0.055504780262708664,5.248886009212583e-05,0.4186626672744751,0.008373253047466278,0.00037280909600667655,0.0011628979118540883,8.269469020660836e-08,0.1332014948129654,0.01332014985382557,1.9350107294258123e-08,1.935010623954625e-10,0.027761979028582573,1.388098955154419,0.03191681206226349,0.0002672476402949542
8,0.001,0.05,0.05,1.586967945098877,-0.3784926235675812,6.0171365475980565e-05,0.10080120712518692,0.054967086762189865,5.633468754240312e-05,0.40740662813186646,0.00814813282340765,0.0003784926375374198,0.0011972584761679173,8.424072461821197e-08,0.13235539197921753,0.013235539197921753,2.0982920290180118e-08,2.0982919568535152e-10,0.02777867019176483,1.388933539390564,0.033996205776929855,0.0002770056889858097
9,0.001,0.05,0.05,1.5679852962493896,-0.3871951401233673,6.138908065622672e-05,0.1028112843632698,0.05385381728410721,6.40390207991004e-05,0.3953501582145691,0.007907003164291382,0.0003871951485052705,0.0012217103503644466,8.61230660120782e-08,0.13139329850673676,0.013139329850673676,2.318817493573988e-08,2.3188174991251032e-10,0.027798008173704147,1.3899004459381104,0.035359978675842285,0.00027959153521806
