2026-02-14 13:58:14,587 | INFO | Training start
2026-02-14 13:58:14,587 | INFO | device=cuda
2026-02-14 13:58:14,587 | INFO | target_pos=(0.05, 0.05)
2026-02-14 13:58:14,587 | INFO | loss_weights={'pulse': 1000.0, 'silence': 1000.0, 'contrast': 100.0, 'efficiency': 0.1, 'pre_pulse': 1000.0, 'trajectory_length': 0.1, 'jerk': 0.01, 'frequency': 50.0, 'trajectory_region': 50.0}
2026-02-14 13:58:14,587 | INFO | n_epochs=2000 | lr=0.001 | save_interval=100
2026-02-14 13:58:14,833 | INFO | csv_header=['epoch', 'lr', 'target_pos_x', 'target_pos_y', 'total', 'pulse', 'silence', 'contrast', 'efficiency', 'pre_pulse', 'frequency', 'frequency_loss', 'target_peak', 'sidelobe_peak', 'total_energy', 'trajectory_length', 'trajectory_penalty', 'jerk', 'jerk_penalty', 'trajectory_region', 'trajectory_region_penalty', 'target_band_power', 'off_band_power']
2026-02-14 13:58:15,214 | INFO | epoch=0 | total=2.04648519 | pulse=-0.38360298 | silence=0.00005454 | contrast=0.08535836 | efficiency=0.04807699 | pre_pulse=0.00003887 | frequency=0.89632088 | frequency_loss=0.01792642 | target_peak=0.00038360 | sidelobe_peak=0.00104539 | total_energy=0.00000008 | trajectory_length=0.13944367 | trajectory_penalty=0.01394437 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02772588 | trajectory_region_penalty=1.38629425 | target_band_power=0.00976054 | off_band_power=0.00017497
2026-02-14 13:58:15,864 | INFO | epoch=1 | total=1.85320127 | pulse=-0.38588482 | silence=0.00005507 | contrast=0.08193822 | efficiency=0.04802365 | pre_pulse=0.00003942 | frequency=0.70896220 | frequency_loss=0.01417924 | target_peak=0.00038588 | sidelobe_peak=0.00101232 | total_energy=0.00000008 | trajectory_length=0.13773316 | trajectory_penalty=0.01377332 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02772588 | trajectory_region_penalty=1.38629425 | target_band_power=0.01371740 | off_band_power=0.00019450
2026-02-14 13:58:16,267 | INFO | epoch=2 | total=1.74259531 | pulse=-0.38541889 | silence=0.00005553 | contrast=0.08212215 | efficiency=0.04858226 | pre_pulse=0.00004081 | frequency=0.59726167 | frequency_loss=0.01194523 | target_peak=0.00038542 | sidelobe_peak=0.00101393 | total_energy=0.00000008 | trajectory_length=0.13657564 | trajectory_penalty=0.01365756 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02772588 | trajectory_region_penalty=1.38629425 | target_band_power=0.01708397 | off_band_power=0.00020407
2026-02-14 13:58:16,671 | INFO | epoch=3 | total=1.66780138 | pulse=-0.38125402 | silence=0.00005601 | contrast=0.08194369 | efficiency=0.05008761 | pre_pulse=0.00004432 | frequency=0.51704389 | frequency_loss=0.01034088 | target_peak=0.00038125 | sidelobe_peak=0.00101006 | total_energy=0.00000008 | trajectory_length=0.13585718 | trajectory_penalty=0.01358572 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02772588 | trajectory_region_penalty=1.38629425 | target_band_power=0.01976764 | off_band_power=0.00020441
2026-02-14 13:58:17,077 | INFO | epoch=4 | total=1.65431380 | pulse=-0.37521043 | silence=0.00005659 | contrast=0.08728869 | efficiency=0.05223898 | pre_pulse=0.00005000 | frequency=0.49003512 | frequency_loss=0.00980070 | target_peak=0.00037521 | sidelobe_peak=0.00106049 | total_energy=0.00000008 | trajectory_length=0.13555476 | trajectory_penalty=0.01355548 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02772599 | trajectory_region_penalty=1.38629937 | target_band_power=0.02193901 | off_band_power=0.00021502
2026-02-14 13:58:17,483 | INFO | epoch=5 | total=1.63417172 | pulse=-0.37176964 | silence=0.00005740 | contrast=0.09374955 | efficiency=0.05400622 | pre_pulse=0.00005205 | frequency=0.45789489 | frequency_loss=0.00915790 | target_peak=0.00037177 | sidelobe_peak=0.00112338 | total_energy=0.00000008 | trajectory_length=0.13490090 | trajectory_penalty=0.01349009 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02773383 | trajectory_region_penalty=1.38669121 | target_band_power=0.02526397 | off_band_power=0.00023136
2026-02-14 13:58:17,890 | INFO | epoch=6 | total=1.61511838 | pulse=-0.37061688 | silence=0.00005831 | contrast=0.09670641 | efficiency=0.05526305 | pre_pulse=0.00005235 | frequency=0.43288642 | frequency_loss=0.00865773 | target_peak=0.00037062 | sidelobe_peak=0.00115237 | total_energy=0.00000008 | trajectory_length=0.13399220 | trajectory_penalty=0.01339922 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02774739 | trajectory_region_penalty=1.38736951 | target_band_power=0.02898355 | off_band_power=0.00025093
2026-02-14 13:58:18,297 | INFO | epoch=7 | total=1.60053849 | pulse=-0.37280908 | silence=0.00005916 | contrast=0.09764934 | efficiency=0.05550478 | pre_pulse=0.00005249 | frequency=0.41866267 | frequency_loss=0.00837325 | target_peak=0.00037281 | sidelobe_peak=0.00116290 | total_energy=0.00000008 | trajectory_length=0.13320149 | trajectory_penalty=0.01332015 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02776198 | trajectory_region_penalty=1.38809896 | target_band_power=0.03191681 | off_band_power=0.00026725
2026-02-14 13:58:18,706 | INFO | epoch=8 | total=1.58696795 | pulse=-0.37849262 | silence=0.00006017 | contrast=0.10080121 | efficiency=0.05496709 | pre_pulse=0.00005633 | frequency=0.40740663 | frequency_loss=0.00814813 | target_peak=0.00037849 | sidelobe_peak=0.00119726 | total_energy=0.00000008 | trajectory_length=0.13235539 | trajectory_penalty=0.01323554 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02777867 | trajectory_region_penalty=1.38893354 | target_band_power=0.03399621 | off_band_power=0.00027701
2026-02-14 13:58:19,115 | INFO | epoch=9 | total=1.56798530 | pulse=-0.38719514 | silence=0.00006139 | contrast=0.10281128 | efficiency=0.05385382 | pre_pulse=0.00006404 | frequency=0.39535016 | frequency_loss=0.00790700 | target_peak=0.00038720 | sidelobe_peak=0.00122171 | total_energy=0.00000009 | trajectory_length=0.13139330 | trajectory_penalty=0.01313933 | jerk=0.00000002 | jerk_penalty=0.00000000 | trajectory_region=0.02779801 | trajectory_region_penalty=1.38990045 | target_band_power=0.03535998 | off_band_power=0.00027959
2026-02-14 13:58:19,524 | INFO | epoch=10 | total=1.55936682 | pulse=-0.39559945 | silence=0.00006279 | contrast=0.10806958 | efficiency=0.05305352 | pre_pulse=0.00007605 | frequency=0.38926119 | frequency_loss=0.00778522 | target_peak=0.00039560 | sidelobe_peak=0.00127850 | total_energy=0.00000009 | trajectory_length=0.13070798 | trajectory_penalty=0.01307080 | jerk=0.00000003 | jerk_penalty=0.00000000 | trajectory_region=0.02782745 | trajectory_region_penalty=1.39137232 | target_band_power=0.03627515 | off_band_power=0.00028241
2026-02-14 13:58:19,933 | INFO | epoch=11 | total=1.54967725 | pulse=-0.39926669 | silence=0.00006435 | contrast=0.11276542 | efficiency=0.05360717 | pre_pulse=0.00008924 | frequency=0.37649953 | frequency_loss=0.00752999 | target_peak=0.00039927 | sidelobe_peak=0.00132729 | total_energy=0.00000009 | trajectory_length=0.13025016 | trajectory_penalty=0.01302502 | jerk=0.00000003 | jerk_penalty=0.00000000 | trajectory_region=0.02785786 | trajectory_region_penalty=1.39289320 | target_band_power=0.03847451 | off_band_power=0.00028971
2026-02-14 13:58:20,341 | INFO | epoch=12 | total=1.53663933 | pulse=-0.40112433 | silence=0.00006608 | contrast=0.11783946 | efficiency=0.05474244 | pre_pulse=0.00010275 | frequency=0.35786790 | frequency_loss=0.00715736 | target_peak=0.00040112 | sidelobe_peak=0.00137896 | total_energy=0.00000009 | trajectory_length=0.12979430 | trajectory_penalty=0.01297943 | jerk=0.00000003 | jerk_penalty=0.00000000 | trajectory_region=0.02788331 | trajectory_region_penalty=1.39416564 | target_band_power=0.04203403 | off_band_power=0.00030085
2026-02-14 13:58:20,752 | INFO | epoch=13 | total=1.52309346 | pulse=-0.40493581 | silence=0.00006793 | contrast=0.11858553 | efficiency=0.05543372 | pre_pulse=0.00011864 | frequency=0.34586897 | frequency_loss=0.00691738 | target_peak=0.00040494 | sidelobe_peak=0.00138832 | total_energy=0.00000010 | trajectory_length=0.12889720 | trajectory_penalty=0.01288972 | jerk=0.00000004 | jerk_penalty=0.00000000 | trajectory_region=0.02790130 | trajectory_region_penalty=1.39506483 | target_band_power=0.04605575 | off_band_power=0.00031859
2026-02-14 13:58:21,159 | INFO | epoch=14 | total=1.51061416 | pulse=-0.41353616 | silence=0.00007000 | contrast=0.12424715 | efficiency=0.05504921 | pre_pulse=0.00013961 | frequency=0.33616692 | frequency_loss=0.00672334 | target_peak=0.00041354 | sidelobe_peak=0.00144924 | total_energy=0.00000010 | trajectory_length=0.12764648 | trajectory_penalty=0.01276465 | jerk=0.00000004 | jerk_penalty=0.00000000 | trajectory_region=0.02791426 | trajectory_region_penalty=1.39571285 | target_band_power=0.04928432 | off_band_power=0.00033136
2026-02-14 13:58:21,581 | INFO | epoch=15 | total=1.48636556 | pulse=-0.42631772 | silence=0.00007226 | contrast=0.12707458 | efficiency=0.05379474 | pre_pulse=0.00016454 | frequency=0.32264924 | frequency_loss=0.00645299 | target_peak=0.00042632 | sidelobe_peak=0.00148390 | total_energy=0.00000010 | trajectory_length=0.12653038 | trajectory_penalty=0.01265304 | jerk=0.00000004 | jerk_penalty=0.00000000 | trajectory_region=0.02792550 | trajectory_region_penalty=1.39627481 | target_band_power=0.05118091 | off_band_power=0.00033027
2026-02-14 13:58:21,990 | INFO | epoch=16 | total=1.47188556 | pulse=-0.44367990 | silence=0.00007474 | contrast=0.12938584 | efficiency=0.05174500 | pre_pulse=0.00019363 | frequency=0.32477927 | frequency_loss=0.00649559 | target_peak=0.00044368 | sidelobe_peak=0.00151570 | total_energy=0.00000011 | trajectory_length=0.12550111 | trajectory_penalty=0.01255011 | jerk=0.00000004 | jerk_penalty=0.00000000 | trajectory_region=0.02793674 | trajectory_region_penalty=1.39683688 | target_band_power=0.05156370 | off_band_power=0.00033494
2026-02-14 13:58:22,398 | INFO | epoch=17 | total=1.45408213 | pulse=-0.46162894 | silence=0.00007793 | contrast=0.13321939 | efficiency=0.05021843 | pre_pulse=0.00023067 | frequency=0.32196522 | frequency_loss=0.00643930 | target_peak=0.00046163 | sidelobe_peak=0.00156301 | total_energy=0.00000011 | trajectory_length=0.12441443 | trajectory_penalty=0.01244144 | jerk=0.00000005 | jerk_penalty=0.00000000 | trajectory_region=0.02795116 | trajectory_region_penalty=1.39755797 | target_band_power=0.05372443 | off_band_power=0.00034595
2026-02-14 13:58:22,810 | INFO | epoch=18 | total=1.42355287 | pulse=-0.48142180 | silence=0.00008192 | contrast=0.14213395 | efficiency=0.04891925 | pre_pulse=0.00027970 | frequency=0.30281606 | frequency_loss=0.00605632 | target_peak=0.00048142 | sidelobe_peak=0.00166205 | total_energy=0.00000012 | trajectory_length=0.12333439 | trajectory_penalty=0.01233344 | jerk=0.00000005 | jerk_penalty=0.00000000 | trajectory_region=0.02796821 | trajectory_region_penalty=1.39841032 | target_band_power=0.05790699 | off_band_power=0.00035070
2026-02-14 13:58:23,217 | INFO | epoch=19 | total=1.38303041 | pulse=-0.50515378 | silence=0.00008667 | contrast=0.15481852 | efficiency=0.04741557 | pre_pulse=0.00034934 | frequency=0.27389246 | frequency_loss=0.00547785 | target_peak=0.00050515 | sidelobe_peak=0.00180076 | total_energy=0.00000013 | trajectory_length=0.12235507 | trajectory_penalty=0.01223551 | jerk=0.00000006 | jerk_penalty=0.00000000 | trajectory_region=0.02798772 | trajectory_region_penalty=1.39938617 | target_band_power=0.06426474 | off_band_power=0.00035203
2026-02-14 13:58:23,626 | INFO | epoch=20 | total=1.34790945 | pulse=-0.54359186 | silence=0.00009241 | contrast=0.17033169 | efficiency=0.04411790 | pre_pulse=0.00044967 | frequency=0.26395947 | frequency_loss=0.00527919 | target_peak=0.00054359 | sidelobe_peak=0.00197511 | total_energy=0.00000013 | trajectory_length=0.12160234 | trajectory_penalty=0.01216023 | jerk=0.00000006 | jerk_penalty=0.00000000 | trajectory_region=0.02800780 | trajectory_region_penalty=1.40038991 | target_band_power=0.07133937 | off_band_power=0.00037661
2026-02-14 13:58:24,035 | INFO | epoch=21 | total=1.28619671 | pulse=-0.60222518 | silence=0.00009842 | contrast=0.18485920 | efficiency=0.03871291 | pre_pulse=0.00057843 | frequency=0.25070474 | frequency_loss=0.00501409 | target_peak=0.00060223 | sidelobe_peak=0.00214970 | total_energy=0.00000014 | trajectory_length=0.12160113 | trajectory_penalty=0.01216011 | jerk=0.00000007 | jerk_penalty=0.00000000 | trajectory_region=0.02802616 | trajectory_region_penalty=1.40130806 | target_band_power=0.07794468 | off_band_power=0.00039082
2026-02-14 13:58:24,517 | INFO | epoch=22 | total=1.19675958 | pulse=-0.68798721 | silence=0.00010420 | contrast=0.20222741 | efficiency=0.03175278 | pre_pulse=0.00074058 | frequency=0.23549318 | frequency_loss=0.00470986 | target_peak=0.00068799 | sidelobe_peak=0.00236627 | total_energy=0.00000015 | trajectory_length=0.12276078 | trajectory_penalty=0.01227608 | jerk=0.00000008 | jerk_penalty=0.00000000 | trajectory_region=0.02804305 | trajectory_region_penalty=1.40215254 | target_band_power=0.08441045 | off_band_power=0.00039756
2026-02-14 13:58:24,927 | INFO | epoch=23 | total=1.08948243 | pulse=-0.80578798 | silence=0.00010882 | contrast=0.22126189 | efficiency=0.02442719 | pre_pulse=0.00094027 | frequency=0.23306096 | frequency_loss=0.00466122 | target_peak=0.00080579 | sidelobe_peak=0.00261551 | total_energy=0.00000016 | trajectory_length=0.12503445 | trajectory_penalty=0.01250345 | jerk=0.00000009 | jerk_penalty=0.00000000 | trajectory_region=0.02805936 | trajectory_region_penalty=1.40296781 | target_band_power=0.09038622 | off_band_power=0.00042131
2026-02-14 13:58:25,334 | INFO | epoch=24 | total=0.95708752 | pulse=-0.95155466 | silence=0.00011149 | contrast=0.23209934 | efficiency=0.01812456 | pre_pulse=0.00118830 | frequency=0.24056032 | frequency_loss=0.00481121 | target_peak=0.00095155 | sidelobe_peak=0.00279677 | total_energy=0.00000017 | trajectory_length=0.12746669 | trajectory_penalty=0.01274667 | jerk=0.00000010 | jerk_penalty=0.00000000 | trajectory_region=0.02807623 | trajectory_region_penalty=1.40381145 | target_band_power=0.09830967 | off_band_power=0.00047299
2026-02-14 13:58:25,741 | INFO | epoch=25 | total=0.80704081 | pulse=-1.10120821 | silence=0.00011201 | contrast=0.22831918 | efficiency=0.01371508 | pre_pulse=0.00144300 | frequency=0.24706593 | frequency_loss=0.00494132 | target_peak=0.00110121 | sidelobe_peak=0.00283380 | total_energy=0.00000017 | trajectory_length=0.12950572 | trajectory_penalty=0.01295057 | jerk=0.00000010 | jerk_penalty=0.00000000 | trajectory_region=0.02809286 | trajectory_region_penalty=1.40464318 | target_band_power=0.10871188 | off_band_power=0.00053718
2026-02-14 13:58:26,148 | INFO | epoch=26 | total=0.67992151 | pulse=-1.20544648 | silence=0.00011095 | contrast=0.20928411 | efficiency=0.01140172 | pre_pulse=0.00159846 | frequency=0.24456364 | frequency_loss=0.00489127 | target_peak=0.00120545 | sidelobe_peak=0.00269556 | total_energy=0.00000017 | trajectory_length=0.13046417 | trajectory_penalty=0.01304642 | jerk=0.00000011 | jerk_penalty=0.00000000 | trajectory_region=0.02810725 | trajectory_region_penalty=1.40536261 | target_band_power=0.11895860 | off_band_power=0.00058186
2026-02-14 13:58:26,555 | INFO | epoch=27 | total=0.63556927 | pulse=-1.21947813 | silence=0.00010937 | contrast=0.18236306 | efficiency=0.01099932 | pre_pulse=0.00155180 | frequency=0.24126107 | frequency_loss=0.00482522 | target_peak=0.00121948 | sidelobe_peak=0.00243337 | total_energy=0.00000016 | trajectory_length=0.12940033 | trajectory_penalty=0.01294003 | jerk=0.00000011 | jerk_penalty=0.00000000 | trajectory_region=0.02811646 | trajectory_region_penalty=1.40582287 | target_band_power=0.12214398 | off_band_power=0.00058937
